Label,Value,Date
"Car Insurance",-113.97,"1986-09-21 21:56:34"
"Rent",-74.14,"1989-04-02 13:42:22"
"Utility Bill",-164.64,"1997-11-21 18:25:40"
"Utility Bill",-97.17,"1998-05-21 09:48:08"
"Utility Bill",-85.67,"1980-12-07 21:21:12"
"Lottery",275.64,"1999-06-20 05:01:18"
"Utility Bill",-169.97,"2011-09-24 09:32:32"
"Salary",971.66,"1996-07-17 14:32:47"
"Groceries",-249.02,"2010-03-12 10:26:08"
"Rent",-6.85,"1985-10-28 21:21:53"
"Lottery",928.96,"2011-12-13 15:13:03"
"Refund",136.71,"1983-06-24 16:36:35"
"Rent",-49.66,"1996-01-31 07:03:33"
"Rent",-125.57,"1999-01-04 01:22:15"
"Rent",-146.88,"1993-12-07 20:07:05"
"Lottery",319.15,"1989-03-22 10:55:07"
"Car Insurance",-17.23,"2003-09-10 06:06:32"
"Groceries",-195.65,"1983-01-29 04:23:14"
"Rent",-182.66,"2006-07-28 01:01:38"
"Utility Bill",-90.45,"2003-07-01 00:28:00"
"Rent",-185.99,"1982-07-28 19:29:57"
"Rent",-41.90,"1988-03-03 10:42:41"
"Car Insurance",-174.31,"2006-07-09 22:21:51"
"Utility Bill",-232.57,"1974-05-03 09:27:05"
"Groceries",-217.01,"2008-12-10 16:10:51"
"Groceries",-154.98,"1971-01-27 06:22:51"
"Groceries",-197.27,"2014-08-04 10:14:58"
"Car Insurance",-159.55,"1986-03-27 10:56:09"
"Groceries",-193.28,"1974-03-30 09:41:16"
"Salary",997.20,"1983-10-24 06:00:49"
"Rent",-129.06,"1984-09-09 20:30:29"
"Utility Bill",-75.09,"2015-03-17 14:27:29"
"Car Insurance",-248.73,"2010-05-19 09:16:00"
"Rent",-226.13,"1996-01-23 02:29:24"
"Groceries",-98.17,"1970-01-02 07:58:07"
"Groceries",-59.50,"1991-10-09 07:24:00"
"Salary",591.78,"1976-07-15 19:45:50"
"Car Insurance",-110.65,"2007-03-31 03:42:11"
"Salary",582.47,"1992-10-27 08:14:57"
"Lottery",409.43,"2012-04-02 18:38:45"
"Car Insurance",-53.90,"2011-04-17 02:33:09"
"Refund",423.99,"1989-04-27 11:39:27"
"Groceries",-220.75,"2016-01-03 20:10:52"
"Rent",-36.43,"2009-10-26 19:20:14"
"Utility Bill",-134.87,"1973-08-26 09:15:12"
"Refund",225.16,"1991-01-06 07:09:53"
"Car Insurance",-62.57,"1972-05-26 09:20:22"
"Car Insurance",-70.06,"1982-03-29 14:56:39"
"Rent",-186.42,"2000-02-18 23:24:56"
"Groceries",-56.14,"1987-04-15 23:33:16"
"Groceries",-27.64,"1995-02-01 20:17:46"
"Salary",209.07,"1983-01-20 21:30:35"
"Groceries",-174.31,"1988-07-02 06:47:09"
"Utility Bill",-194.26,"2008-08-03 00:17:01"
"Car Insurance",-49.73,"1997-04-10 22:43:45"
"Utility Bill",-26.69,"1987-10-27 10:38:04"
"Car Insurance",-127.13,"2003-08-03 17:18:19"
"Groceries",-46.29,"1975-09-25 08:56:33"
"Salary",859.50,"2009-09-10 21:36:19"
"Utility Bill",-106.26,"2010-10-12 04:23:20"
"Rent",-64.28,"2013-09-08 12:52:43"
"Salary",112.61,"2010-08-12 01:17:50"
"Utility Bill",-151.97,"2017-04-03 21:29:55"
"Car Insurance",-62.30,"1986-05-24 05:52:36"
"Utility Bill",-45.90,"1999-06-07 01:44:33"
"Car Insurance",-2.26,"1985-05-19 03:14:46"
"Utility Bill",-174.30,"2020-04-23 21:03:47"
"Rent",-231.69,"1990-02-08 17:22:14"
"Car Insurance",-170.61,"1999-07-11 00:54:59"
"Refund",947.67,"1992-07-29 18:18:53"
"Utility Bill",-223.56,"2001-09-11 19:04:41"
"Rent",-237.96,"2006-06-24 02:42:34"
"Salary",322.26,"1974-12-27 05:42:13"
"Utility Bill",-72.76,"2015-06-05 22:22:38"
"Rent",-229.90,"1998-12-30 08:46:58"
"Car Insurance",-96.22,"1993-12-22 11:02:54"
"Salary",798.40,"2009-01-10 10:14:45"
"Salary",230.40,"1988-04-09 21:37:28"
"Rent",-216.97,"2017-04-14 19:12:57"
"Lottery",369.20,"2019-06-19 05:30:07"
"Refund",918.54,"1979-10-28 07:51:23"
"Utility Bill",-7.41,"1997-03-31 03:52:36"
"Utility Bill",-157.65,"1988-11-18 13:40:33"
"Groceries",-247.12,"1978-03-08 06:47:15"
"Car Insurance",-199.84,"2018-07-14 09:05:43"
"Car Insurance",-115.26,"1974-01-04 14:26:08"
"Utility Bill",-53.86,"2003-07-02 19:13:30"
"Car Insurance",-96.20,"2016-09-23 15:13:13"
"Car Insurance",-125.23,"1982-12-12 09:23:55"
"Groceries",-166.92,"1972-03-01 08:17:21"
"Refund",384.67,"1997-09-27 07:36:11"
"Rent",-241.26,"1982-11-29 04:26:27"
"Rent",-138.93,"1996-03-10 18:47:53"
"Car Insurance",-52.45,"1982-08-13 08:32:07"
"Utility Bill",-141.75,"2018-12-29 07:50:34"
"Utility Bill",-62.01,"2014-04-10 10:43:15"
"Refund",637.43,"2005-03-27 05:04:38"
"Car Insurance",-141.69,"1990-04-10 04:56:06"
"Groceries",-249.26,"1993-03-18 03:44:50"
"Car Insurance",-49.66,"1998-08-09 15:45:09"
"Utility Bill",-4.83,"2020-02-13 21:16:23"
"Car Insurance",-172.25,"1984-07-08 12:34:46"
"Rent",-87.77,"1997-11-22 18:45:59"
"Rent",-153.87,"1992-05-26 13:03:49"
"Groceries",-235.09,"2017-09-14 06:37:02"
"Salary",939.08,"1989-04-08 16:08:23"
"Car Insurance",-124.55,"1999-09-18 05:36:01"
"Rent",-175.54,"2019-06-07 03:33:47"
"Car Insurance",-118.81,"1980-03-02 20:39:27"
"Groceries",-118.35,"2001-11-05 22:28:35"
"Rent",-164.06,"2012-04-22 20:14:47"
"Utility Bill",-141.84,"2015-01-20 06:31:08"
"Rent",-159.94,"2017-07-22 18:23:48"
"Salary",449.46,"1974-01-22 08:45:16"
"Rent",-242.09,"2001-11-22 01:58:16"
"Car Insurance",-74.32,"1982-10-07 13:10:34"
"Car Insurance",-187.07,"1998-11-05 08:50:12"
"Car Insurance",-129.80,"1977-08-11 12:30:54"
"Groceries",-69.64,"1994-10-26 16:03:52"
"Car Insurance",-132.97,"1972-10-09 20:25:35"
"Rent",-124.70,"1981-12-21 00:00:47"
"Groceries",-136.68,"1984-09-12 11:28:37"
"Lottery",901.29,"1992-10-08 12:28:58"
"Refund",231.74,"1989-10-25 05:30:07"
"Utility Bill",-163.93,"2008-03-26 01:24:30"
"Salary",53.85,"1974-02-28 18:00:16"
"Refund",678.71,"1978-04-12 08:03:07"
"Car Insurance",-50.90,"1977-08-25 16:11:38"
"Utility Bill",-64.70,"2012-07-06 13:53:22"
"Car Insurance",-162.25,"1997-11-15 05:37:13"
"Groceries",-122.18,"1996-04-03 22:29:34"
"Groceries",-15.56,"2009-12-30 11:59:14"
"Rent",-74.21,"1987-04-20 23:20:21"
"Groceries",-163.32,"1999-05-01 02:46:42"
"Utility Bill",-62.74,"1993-08-11 05:24:46"
"Rent",-149.22,"1984-05-09 17:46:48"
"Rent",-82.43,"2015-08-03 01:52:16"
"Rent",-231.40,"1997-12-13 09:09:49"
"Utility Bill",-167.52,"2005-09-01 23:49:01"
"Utility Bill",-142.12,"2001-03-19 10:45:42"
"Groceries",-180.68,"1970-10-13 07:31:27"
"Utility Bill",-151.08,"1997-12-02 16:38:19"
"Rent",-170.54,"1975-12-04 07:54:12"
"Groceries",-172.08,"1974-07-11 23:27:40"
"Utility Bill",-106.83,"1995-08-08 00:28:03"
"Utility Bill",-50.15,"1992-07-26 11:40:37"
"Salary",113.70,"1993-05-27 19:58:07"
"Groceries",-84.76,"2016-05-12 15:23:05"
"Groceries",-14.84,"2015-01-12 18:45:41"
"Utility Bill",-164.96,"1976-02-29 10:02:12"
"Utility Bill",-201.69,"1972-03-19 12:58:46"
"Utility Bill",-45.31,"2015-03-07 02:48:43"
"Utility Bill",-165.31,"1974-01-17 19:18:04"
"Lottery",188.41,"1997-09-10 22:33:56"
"Utility Bill",-54.67,"1992-04-27 15:42:57"
"Utility Bill",-126.50,"2012-11-19 11:27:19"
"Groceries",-199.37,"2014-10-12 21:38:06"
"Groceries",-247.53,"1976-03-11 03:41:14"
"Rent",-70.61,"1978-11-27 01:59:15"
"Utility Bill",-60.63,"2014-01-09 16:06:07"
"Groceries",-9.75,"1985-10-29 17:31:43"
"Rent",-5.93,"1970-01-14 20:30:31"
"Lottery",90.50,"2008-07-17 14:48:51"
"Car Insurance",-108.00,"2006-06-22 00:15:33"
"Rent",-79.78,"2009-03-23 17:54:02"
"Groceries",-155.85,"1972-01-10 18:18:49"
"Groceries",-46.95,"2000-02-05 01:12:40"
"Lottery",281.20,"1970-09-08 09:15:15"
"Rent",-174.57,"1988-12-06 05:08:38"
"Groceries",-14.04,"1985-04-29 17:50:31"
"Groceries",-154.58,"1983-11-17 13:02:35"
"Refund",811.56,"2006-01-26 13:27:03"
"Rent",-39.88,"1981-11-19 09:10:34"
"Groceries",-63.82,"1972-01-31 20:30:00"
"Groceries",-102.74,"1984-12-22 15:09:27"
"Car Insurance",-87.37,"1979-02-10 21:25:42"
"Salary",764.44,"1978-02-05 05:26:49"
"Utility Bill",-40.02,"2001-01-28 18:58:06"
"Utility Bill",-149.99,"1992-01-23 11:19:36"
"Rent",-198.28,"2008-02-13 22:23:22"
"Refund",553.02,"2009-03-07 04:55:45"
"Car Insurance",-100.15,"2005-03-02 07:46:59"
"Rent",-172.11,"1994-08-18 17:41:38"
"Car Insurance",-86.09,"1975-07-07 13:03:55"
"Rent",-180.95,"2012-07-06 00:52:44"
"Utility Bill",-227.59,"1996-08-23 16:35:15"
"Car Insurance",-163.61,"2019-09-18 10:33:53"
"Utility Bill",-3.28,"2010-04-06 01:02:20"
"Utility Bill",-210.08,"1977-06-18 20:34:49"
"Car Insurance",-199.23,"2011-03-05 01:48:53"
"Groceries",-172.26,"1988-04-26 14:53:21"
"Groceries",-204.12,"1999-03-23 02:30:48"
"Groceries",-188.40,"1999-06-15 23:37:50"
"Groceries",-182.32,"2010-08-15 10:54:09"
"Groceries",-12.92,"1981-12-31 03:51:40"
"Groceries",-190.35,"1992-10-04 04:39:16"
"Car Insurance",-103.22,"2000-11-20 02:19:31"
"Groceries",-141.22,"1981-10-25 06:41:31"
"Salary",915.18,"2007-01-30 17:34:30"
"Refund",512.23,"1997-04-28 06:42:39"
"Salary",632.92,"2017-05-31 20:29:46"
"Car Insurance",-167.05,"1982-03-13 07:38:15"
"Rent",-184.97,"1983-10-26 02:54:26"
"Salary",182.98,"1996-04-14 18:43:49"
"Refund",872.69,"2011-12-01 11:10:30"
"Car Insurance",-233.96,"1991-04-18 08:10:13"
"Utility Bill",-49.02,"2013-03-28 13:45:02"
"Groceries",-40.47,"2018-03-01 09:29:07"
"Rent",-79.22,"1970-02-22 19:31:53"
"Groceries",-130.41,"1995-09-23 02:54:28"
"Utility Bill",-47.58,"1977-02-04 13:09:38"
"Utility Bill",-103.33,"2011-01-14 00:54:01"
"Rent",-121.16,"1980-05-28 11:20:52"
"Rent",-224.38,"2002-07-05 22:31:33"
"Utility Bill",-182.92,"2020-02-11 10:59:50"
"Refund",921.47,"2003-04-07 04:19:39"
"Lottery",668.35,"1974-01-13 02:17:36"
"Groceries",-6.19,"1971-09-02 01:54:37"
"Refund",485.09,"1970-07-23 14:21:08"
"Rent",-106.15,"1971-04-17 20:37:14"
"Car Insurance",-196.84,"2005-06-02 19:19:11"
"Rent",-22.54,"2008-01-30 04:55:40"
"Car Insurance",-1.52,"1977-04-29 00:23:06"
"Lottery",496.99,"2018-08-14 20:59:47"
"Utility Bill",-41.93,"1998-11-09 23:24:02"
"Rent",-235.19,"2009-01-16 01:58:14"
"Car Insurance",-206.95,"1975-05-01 02:47:54"
"Utility Bill",-162.74,"2001-12-25 02:17:47"
"Groceries",-176.52,"1996-11-02 14:04:44"
"Rent",-109.61,"1971-01-01 00:23:47"
"Groceries",-185.48,"1997-04-07 13:20:46"
"Groceries",-237.07,"2006-02-02 20:19:52"
"Lottery",389.70,"2006-07-28 02:08:33"
"Groceries",-14.01,"1975-02-05 06:21:09"
"Car Insurance",-190.24,"2017-10-19 04:41:49"
"Lottery",206.47,"1997-06-06 15:04:08"
"Rent",-233.58,"2007-03-05 12:26:04"
"Refund",675.90,"2004-11-12 22:40:31"
"Groceries",-78.74,"2017-01-14 21:02:48"
"Utility Bill",-27.04,"1986-12-30 13:10:09"
"Rent",-16.01,"1977-03-20 12:46:34"
"Salary",588.39,"1981-02-23 09:00:17"
"Utility Bill",-119.83,"2010-06-17 02:13:25"
"Car Insurance",-39.29,"1980-03-06 13:08:17"
"Rent",-171.64,"1975-01-08 12:20:45"
"Refund",493.02,"1970-11-23 19:48:45"
"Rent",-112.70,"1986-03-20 18:51:12"
"Groceries",-188.74,"2008-06-11 19:54:53"
"Rent",-45.82,"1991-06-22 04:11:13"
"Groceries",-183.72,"2017-07-29 16:49:55"
"Car Insurance",-205.84,"1973-02-14 01:43:18"
"Rent",-53.68,"1986-07-24 20:45:01"
"Salary",22.36,"1971-01-11 19:36:03"
"Car Insurance",-10.62,"1977-07-09 21:27:24"
"Rent",-165.96,"2015-08-31 13:04:18"
"Groceries",-0.50,"2014-02-09 16:05:46"
"Lottery",641.98,"1972-04-18 19:32:46"
"Rent",-31.80,"2016-03-23 19:48:52"
"Utility Bill",-46.50,"1990-11-09 07:28:57"
"Utility Bill",-44.36,"1980-06-13 05:55:44"
"Car Insurance",-110.67,"2014-09-01 06:47:12"
"Utility Bill",-164.23,"1993-10-11 19:18:26"
"Utility Bill",-34.34,"1998-07-29 20:33:25"
"Car Insurance",-38.43,"1974-05-10 09:31:53"
"Groceries",-96.15,"2020-03-15 02:51:33"
"Utility Bill",-66.30,"1978-09-08 10:43:02"
"Lottery",477.93,"2019-09-20 13:18:27"
"Refund",991.13,"2000-03-02 20:58:22"
"Lottery",890.10,"1984-01-03 18:36:24"
"Car Insurance",-124.52,"1984-02-17 12:26:50"
"Car Insurance",-224.46,"2017-10-13 04:24:34"
"Salary",395.24,"1976-10-08 15:48:10"
"Rent",-60.57,"2004-01-03 09:57:17"
"Rent",-181.20,"2002-03-18 09:42:16"
"Rent",-13.87,"1977-05-20 11:03:06"
"Groceries",-194.65,"2014-05-10 13:17:35"
"Utility Bill",-54.79,"1978-03-02 17:11:17"
"Groceries",-205.79,"1986-06-12 03:41:03"
"Groceries",-226.30,"1993-09-03 14:04:02"
"Rent",-155.40,"1999-08-15 08:11:15"
"Utility Bill",-109.27,"1991-02-03 15:19:09"
"Car Insurance",-121.97,"1984-02-06 15:34:40"
"Utility Bill",-3.52,"1977-03-10 10:25:50"
"Rent",-140.01,"1990-03-20 18:45:02"
"Salary",106.05,"2007-03-13 04:11:05"
"Car Insurance",-240.41,"1995-10-27 02:03:37"
"Rent",-39.36,"1971-08-17 13:41:40"
"Refund",815.20,"1982-04-08 23:01:20"
"Utility Bill",-148.86,"2018-04-07 17:16:46"
"Groceries",-92.52,"1992-12-30 07:08:53"
"Groceries",-228.53,"2000-11-19 18:46:43"
"Groceries",-79.94,"1995-03-09 05:10:22"
"Salary",923.85,"1977-11-15 06:29:40"
"Groceries",-161.90,"2013-02-09 02:48:20"
"Utility Bill",-28.05,"1986-12-25 02:21:50"
"Rent",-230.19,"1987-03-29 22:09:37"
"Rent",-177.80,"1980-02-17 11:52:02"
"Refund",932.15,"1979-02-15 14:23:18"
"Car Insurance",-200.45,"1974-03-13 06:02:25"
"Car Insurance",-173.05,"1988-04-02 17:51:46"
"Car Insurance",-32.18,"2010-08-22 13:42:40"
"Rent",-219.19,"2016-10-28 01:25:42"
"Groceries",-75.23,"2009-08-29 21:23:43"
"Rent",-166.32,"2009-11-02 20:11:37"
"Car Insurance",-7.08,"1998-03-01 16:16:56"
"Groceries",-94.92,"2006-07-12 17:15:20"
"Car Insurance",-226.70,"1974-12-25 09:02:37"
"Utility Bill",-180.90,"1980-06-21 17:43:35"
"Salary",429.65,"1981-09-22 00:30:06"
"Car Insurance",-10.46,"2011-12-21 18:45:48"
"Utility Bill",-62.17,"1985-07-11 09:53:18"
"Rent",-161.74,"1984-01-29 03:42:52"
"Car Insurance",-88.37,"1975-05-22 22:54:27"
"Groceries",-192.37,"1984-03-29 03:12:54"
"Utility Bill",-143.52,"1987-02-28 07:53:28"
"Rent",-91.65,"1996-04-18 22:46:57"
"Lottery",96.87,"1988-07-24 01:07:22"
"Car Insurance",-79.52,"2008-12-10 05:17:14"
"Utility Bill",-12.62,"2002-03-27 09:16:53"
"Car Insurance",-16.01,"1996-08-08 01:57:04"
"Car Insurance",-222.60,"2008-11-08 17:38:30"
"Groceries",-100.86,"1998-06-12 07:36:44"
"Refund",422.02,"1997-12-13 14:57:51"
"Groceries",-53.69,"1992-11-25 16:11:49"
"Car Insurance",-48.73,"1978-04-07 01:59:59"
"Rent",-68.94,"1998-10-29 16:22:05"
"Groceries",-12.97,"2005-06-29 18:30:07"
"Utility Bill",-245.77,"2011-06-29 13:31:04"
"Rent",-19.09,"1974-04-13 19:13:10"
"Rent",-7.25,"2009-02-21 12:35:27"
"Groceries",-83.24,"1988-08-25 10:38:43"
"Lottery",316.01,"1975-12-14 11:21:47"
"Refund",211.78,"2014-06-15 02:06:00"
"Groceries",-148.16,"1980-05-24 06:41:14"
"Car Insurance",-157.44,"1973-06-12 16:05:30"
"Car Insurance",-219.61,"2019-05-01 21:08:42"
"Lottery",331.93,"1977-03-08 17:25:11"
"Groceries",-88.06,"2018-10-02 09:01:51"
"Rent",-145.65,"2001-02-23 10:54:00"
"Salary",267.63,"1988-03-06 15:52:59"
"Lottery",354.38,"1977-12-02 23:42:41"
"Rent",-78.85,"2014-08-26 18:36:29"
"Groceries",-58.45,"1992-09-25 17:10:33"
"Groceries",-224.77,"2012-03-05 04:17:05"
"Utility Bill",-245.54,"1978-05-24 14:11:20"
"Rent",-144.29,"1990-07-23 07:38:23"
"Groceries",-39.17,"1993-01-31 05:45:14"
"Utility Bill",-4.50,"2010-03-29 22:09:24"
"Utility Bill",-168.64,"2004-07-31 13:16:37"
"Groceries",-56.47,"1986-10-26 15:53:12"
"Groceries",-52.97,"2003-06-27 22:30:34"
"Salary",750.71,"1983-10-12 18:00:22"
"Rent",-149.93,"2018-11-29 02:40:27"
"Car Insurance",-174.77,"2019-07-18 08:23:42"
"Utility Bill",-209.79,"1974-04-19 08:56:48"
"Rent",-52.11,"1990-07-29 14:53:56"
"Salary",521.04,"1994-12-13 11:16:10"
"Utility Bill",-80.57,"2001-11-29 12:05:41"
"Utility Bill",-33.31,"1995-01-24 23:59:58"
"Salary",264.25,"1993-07-08 18:01:32"
"Groceries",-145.41,"1989-03-12 21:13:37"
"Lottery",770.09,"1983-04-25 22:20:20"
"Utility Bill",-148.36,"1991-01-30 02:28:45"
"Refund",94.64,"1988-01-30 03:58:48"
"Lottery",415.16,"1977-06-13 06:46:33"
"Utility Bill",-118.28,"1991-12-29 15:17:49"
"Groceries",-249.29,"2014-08-11 07:39:41"
"Utility Bill",-37.79,"2011-12-23 04:26:42"
"Car Insurance",-109.32,"1975-08-11 04:02:36"
"Groceries",-84.26,"1996-06-20 02:21:55"
"Car Insurance",-163.78,"1985-12-21 22:29:51"
"Car Insurance",-46.13,"1970-02-23 14:55:33"
"Rent",-108.08,"1989-12-13 20:59:17"
"Salary",28.03,"2018-06-11 15:21:31"
"Rent",-186.79,"1971-10-01 11:20:51"
"Groceries",-196.43,"2019-08-26 15:51:27"
"Rent",-38.15,"2008-07-15 19:41:53"
"Refund",783.03,"2000-11-23 23:29:25"
"Car Insurance",-72.91,"2003-11-18 18:49:17"
"Groceries",-146.03,"2014-08-19 03:05:22"
"Salary",533.28,"1992-04-12 09:18:06"
"Salary",675.73,"1977-07-09 05:32:26"
"Utility Bill",-95.40,"2015-02-21 01:17:01"
"Refund",415.26,"1991-06-24 18:44:57"
"Groceries",-228.49,"1971-12-03 10:22:58"
"Rent",-20.69,"1991-08-15 09:57:33"
"Refund",823.14,"1993-05-01 12:15:44"
"Car Insurance",-138.62,"2005-01-24 01:10:50"
"Rent",-61.47,"1977-07-17 12:59:12"
"Utility Bill",-209.02,"2014-02-16 23:47:52"
"Car Insurance",-3.14,"2009-11-05 02:06:58"
"Rent",-56.90,"2001-08-31 13:03:54"
"Refund",755.91,"2002-07-09 10:11:30"
"Groceries",-219.75,"1989-01-17 11:41:17"
"Lottery",865.84,"1987-05-17 20:38:03"
"Rent",-211.10,"2001-12-26 14:12:35"
"Utility Bill",-145.26,"1984-08-02 12:42:33"
"Rent",-240.10,"1976-12-29 13:23:57"
"Lottery",176.43,"2014-04-26 01:14:29"
"Rent",-181.17,"1988-02-21 13:24:23"
"Groceries",-164.96,"2003-08-28 00:33:04"
"Rent",-101.67,"2001-03-12 22:40:13"
"Car Insurance",-246.93,"2002-08-23 14:54:22"
"Car Insurance",-5.89,"1981-12-25 06:00:43"
"Utility Bill",-46.31,"1990-09-01 04:49:45"
"Refund",366.25,"2012-04-02 13:03:57"
"Groceries",-46.55,"1979-08-20 16:32:28"
"Rent",-172.74,"2011-05-22 02:38:16"
"Rent",-236.01,"1971-02-18 08:05:05"
"Utility Bill",-14.91,"2020-01-10 05:28:16"
"Refund",601.66,"1984-09-23 01:09:31"
"Car Insurance",-63.38,"1999-04-29 16:11:30"
"Rent",-46.16,"2000-03-05 09:33:10"
"Rent",-55.08,"2011-08-06 17:00:09"
"Groceries",-48.14,"2018-04-13 18:18:06"
"Utility Bill",-25.62,"1979-11-13 11:51:24"
"Groceries",-26.87,"1983-01-18 20:26:07"
"Rent",-48.77,"1971-04-22 08:58:25"
"Groceries",-217.11,"1980-07-29 09:38:39"
"Car Insurance",-9.41,"1975-06-27 23:52:46"
"Car Insurance",-95.82,"1977-10-28 04:42:45"
"Salary",278.79,"2008-03-17 12:03:29"
"Rent",-202.00,"1973-06-13 16:30:03"
"Rent",-25.14,"1993-04-29 04:30:42"
"Salary",703.73,"1986-03-30 21:34:50"
"Salary",879.83,"2004-03-07 08:54:50"
"Car Insurance",-69.35,"1999-09-29 17:36:26"
"Rent",-6.92,"1998-09-22 11:34:08"
"Groceries",-121.88,"1996-02-29 08:49:33"
"Car Insurance",-110.73,"2015-02-25 00:29:18"
"Refund",670.51,"1991-02-18 21:27:29"
"Car Insurance",-19.82,"2016-05-05 22:23:30"
"Refund",655.99,"2015-11-20 17:24:52"
"Car Insurance",-30.87,"2020-03-18 13:20:23"
"Car Insurance",-233.32,"1983-10-22 06:14:22"
"Groceries",-230.82,"2002-06-04 11:58:06"
"Rent",-101.37,"1971-01-23 06:23:49"
"Car Insurance",-185.07,"1978-07-01 04:05:36"
"Rent",-247.64,"2019-08-05 05:22:33"
"Refund",650.82,"1986-02-12 13:40:56"
"Utility Bill",-97.75,"1971-10-07 15:37:59"
"Rent",-17.38,"2014-06-18 21:02:07"
"Utility Bill",-199.67,"1991-01-16 13:25:47"
"Rent",-73.26,"1994-01-12 08:24:30"
"Utility Bill",-246.26,"1982-07-05 23:12:18"
"Utility Bill",-206.16,"1990-03-04 16:18:12"
"Lottery",108.05,"1995-07-11 19:45:58"
"Utility Bill",-179.35,"1985-04-25 13:04:25"
"Groceries",-186.47,"2006-11-04 15:32:09"
"Car Insurance",-78.23,"1990-03-30 01:28:24"
"Groceries",-44.20,"2017-10-19 21:29:29"
"Rent",-228.57,"2004-12-08 09:05:27"
"Car Insurance",-55.18,"1995-06-25 19:58:01"
"Rent",-222.30,"2018-11-18 04:31:52"
"Lottery",125.75,"2010-02-27 15:59:03"
"Rent",-35.12,"2000-11-22 18:39:25"
"Lottery",231.88,"2002-10-05 11:21:01"
"Refund",589.04,"1977-07-07 03:54:46"
"Groceries",-123.10,"2019-01-01 08:55:49"
"Car Insurance",-63.09,"1981-10-10 07:11:46"
"Utility Bill",-53.34,"1991-10-27 15:17:58"
"Lottery",487.41,"2005-11-27 13:53:17"
"Groceries",-22.12,"1975-07-30 11:09:20"
"Rent",-103.38,"2003-03-01 17:22:59"
"Salary",20.94,"2017-12-03 23:56:05"
"Utility Bill",-102.53,"2001-09-19 15:25:08"
"Utility Bill",-240.79,"1998-12-12 21:02:34"
"Car Insurance",-116.67,"1998-01-03 20:43:34"
"Rent",-118.60,"1988-11-19 06:09:18"
"Rent",-6.02,"1986-04-05 01:05:58"
"Groceries",-162.64,"2011-12-10 11:02:43"
"Utility Bill",-52.13,"1977-04-18 04:40:55"
"Salary",276.95,"1986-07-19 05:07:12"
"Refund",851.56,"2008-05-21 19:43:36"
"Rent",-74.73,"1991-05-31 23:03:40"
"Lottery",956.42,"2009-03-25 01:07:45"
"Rent",-93.61,"1995-05-21 03:04:52"
"Utility Bill",-36.62,"2017-01-13 01:01:05"
"Car Insurance",-10.64,"1982-02-04 01:29:30"
"Rent",-47.95,"1978-12-28 00:00:31"
